modelId	sourceIds	dimensions
model-1	1, 2	37х37х175
model-3	3, 4	37х37х175
model-5	5, 6	37х37х175
model-7	7, 8	86х44х166
model-9	9	86х44х166
model-10	10, 11	37х37х175
model-12	12	60х53х84
model-13	13	60х58х37|53х45х37|38х31х37
model-18	18	90х40х176|75х35х151|60х30х121
model-19	19, 20, 21	120х75х75|41х50х95
model-29	29	25.5х25.5х59
model-30	30, 32	40х40х45
model-31	31, 33	40х40х45
model-34	34	160х75х75
model-36	36	130х70х75
model-41	41	80х75
model-45	45	100х100|130х75
model-50	50	80х80х75
model-51	51, 52	80х80х75
model-56	56	90х90|120х77
model-57	57	100х75
model-62	62	400х110х78
model-63	63, 64	100х75х100
model-65	65	Д900
model-67	67	80х80х75
model-69	69, 70	145х68.6х75
model-71	71, 73, 72	145х68.6х75.5
model-74	74, 75	140х80х75
model-77	77, 78, 79	140х68.6х75
model-80	80, 81	105х105|140х74.5
model-87	87, 88	30х80
model-89	89, 90	80х120|40х75
model-91	91, 93	150х75х75
model-94	94	120х75х75
model-97	97, 99	75х75х75
model-100	100	110х110х75
model-101	101, 102, 103	160х75х75
model-107	107	80х80х75
model-114	114	180х80х75
model-116	116	120х80х75
model-118	118, 119	120-160х80х75
model-120	120	120х80х75
model-122	122	80х75
model-123	123, 124, 126, 125	45х56х110
model-127	127, 128, 130, 129	45х56х113
model-131	131, 132	59х51х93-114
model-133	133, 134	60х51х91.5-112.5
model-135	135, 136, 138, 137	42х55х99
model-139	139, 140, 142, 141	42х56х102
model-145	145	45х53х86-107
model-147	147, 149	43х50х92-103
model-151	151, 153	44х50х83-103
model-155	155	50х44х104
model-156	156	53х44х104
model-157	157, 160	50х51х109
model-163	163	38х39х63-84
model-165	165	47х48х84-105
model-169	169	42х44х67-88
model-173	173	53х44х94
model-175	175	52х42х94
model-176	176, 177	50х50х84
model-179	179, 180	47х55.5х107
model-181	181, 182	49х52х76.5
model-183	183	53х45х81
model-184	184, 186, 187, 190	55х48х83
model-192	192, 193, 194, 195	49.5х53.5х87
model-196	196	49.5х52.5х117
model-197	197, 198, 199, 200	100х41х40
model-201	201, 203	42х42х85
model-205	205, 206	42х42х85
model-216	216	40х46х100
model-217	217	42х45х85
model-219	219	46х41х79.5
model-220	220	44х54х95
model-222	222, 223	59х53х75
model-224	224, 225	51х44х86
model-226	226, 227	46х46х78
model-228	228	50х51х78.5
model-229	229	42х45х78
model-231	231, 232, 233	45х53х97
model-234	234	44х55х97
model-236	236	50х47х73
model-241	241, 242	43х49х88.5|40х40х90
model-243	243	50х48х81.5
model-244	244, 245, 246, 248	49.5х54.5х84
model-249	249, 250	54х47х83
model-251	251, 252	50х46х77
model-254	254	46х45х83
model-255	255	51х48х106
model-257	257, 258	69х56х77
model-260	260, 262	57х50.5х79.5
model-263	263	45х51х94
model-264	264, 265	86х48.5х54.5
model-266	266, 267	54.5х54х75
model-268	268, 269	54.5х54х75
model-270	270, 271	54.5х56х74
model-275	275	86х48.5х54.5
model-276	276, 277	44х42х89
model-278	278, 279, 280	91х55х52
model-281	281, 282, 283	41х50х95
model-284	284, 285	58х55х83
model-288	288, 293, 290, 291, 292	Д40
model-319	319	68х60х88
model-320	320, 321	55х58х81
model-324	324	55х55х80
model-331	331, 337, 340, 344	54х62х83
model-346	346	53х61х88
model-347	347, 348	46х52х88
model-350	350, 351, 352, 353, 354, 361, 355, 356, 357, 358, 359, 360	44х53х87
model-364	364, 367, 370, 373, 375, 376, 379, 382, 388, 391, 393, 396, 397, 400, 403, 405, 409	44х53х86
model-411	411, 412	43х53х92
model-414	414, 415	44.5х52.5х86
model-416	416	45х53х88
model-417	417, 421, 423, 426, 431, 432, 440, 443, 446, 452	44.5х52.5х88
model-453	453, 454, 455	45х54х90
model-456	456	45х53х88
model-457	457, 458	45х53х88
model-462	462	41х52х96
model-466	466	89х56х44
model-467	467	45х35х85
model-468	468, 469, 470, 471, 472	55х51х78|56х51х80
model-473	473, 474, 475	47х54х82
model-477	477, 479, 483	41х52х95
model-488	488	46.5х53х83.5
model-523	523, 526, 524, 530, 525, 529, 527, 531, 532, 528, 533, 541	46х55х89|41х55х89
model-542	542, 543	46х53х76.5
model-546	546, 550, 548, 551, 553, 549, 552, 558	49х50х93|45х55х93
model-564	564, 568, 572, 565, 571, 566, 570, 567, 573, 569, 578, 584	47х56х89|45х56х89
model-593	593, 596, 594, 597, 595, 598, 602, 609, 599, 600, 601, 610	49х51х93
model-611	611, 612, 615, 613, 614, 616, 617	46х55х88|41х55х88
model-625	625	60х63х83
model-626	626	58х57х86
model-627	627, 632, 629, 634, 630	39х49х78
model-639	639, 642	41х53х81.5
model-645	645, 646, 647, 648, 649, 650	53х59х82.5
model-654	654, 655, 656	40х49х88|40.5х49х88.5
model-660	660	51х46х82
model-661	661, 673, 676, 679, 682, 686	45х51х82
model-688	688, 689	51х46х82.5
model-690	690	52х46х83.5
model-691	691	52х46х83.5
model-692	692, 695, 698, 701, 704, 707, 710, 713, 716, 719, 722, 724	46х56х84
model-726	726	50х46х82
model-733	733	45х54.5х80
model-735	735	45х54.5х80
model-736	736, 742	46х50.5х78
model-744	744	43х49х77
model-755	755, 759	60х53х81
model-768	768	46х56х79
model-770	770, 771, 772, 777, 778, 780, 781, 782	49х52х74|48х48х74
model-783	783, 784	48.5х52.5х83
model-785	785, 794, 798	47.5х55х80
model-799	799, 800	48х55х81
model-807	807, 810	48.5х48х82.5
model-813	813	49х46.5х73.5
model-819	819, 824, 825, 828	46.5х47.5х79
model-831	831, 834	46.5х48х75
model-851	851	112.5х77х85
model-866	866, 902, 867, 903, 904	70х70х84
model-869	869, 870, 872, 873, 874, 875, 876, 877	70х80х82
model-878	878, 879	70х70х84
model-880	880, 881	97х98х90-96
model-883	883, 884, 885	97х98х90-96
model-921	921, 922, 923	135х68х69
model-1017	1017, 1019, 1018	48х47х116
model-1202	1202	58х47х97
model-1291	1291, 1292	55х55х75
model-1300	1300, 1301	64х67х92|Д60х55
model-1302	1302, 1303	74х82х100
model-1304	1304, 1305	60х50
model-1306	1306, 1307	65х65х77|64х61
model-1308	1308	65х65х77|64х61
model-1311	1311, 1312	65х65х77|64х61
model-1313	1313, 1314	61х67х78.5|108х66х78.5|Д60х56.5
model-1315	1315, 1316	61х67х78.5
model-1317	1317, 1318, 1319, 1320	169х102х80
model-1325	1325, 1338, 1343, 1326, 1327, 1328, 1329, 1330, 1332, 1337, 1341, 1331, 1333, 1339, 1342, 1334, 1335, 1336, 1340, 1344	182х119|169х102х80
model-1345	1345, 1358, 1362, 1346, 1359, 1363, 1347, 1349, 1351, 1357, 1361, 1348, 1360, 1364, 1350, 1352, 1353, 1354, 1355, 1356	115х101х104
model-1365	1365, 1366, 1367	115х101х104
model-1369	1369	60х62х77
model-1370	1370, 1371	58х136х103
model-1372	1372, 1373, 1374, 1375	115х78х104
model-1377	1377, 1390, 1378, 1388, 1379, 1391, 1389	115х78х104
model-1396	1396, 1397	58х133х102
model-1398	1398	55х55х56
model-1402	1402, 1405, 1403, 1404	125х125х15
model-1407	1407, 1410	182х119х15
model-1417	1417, 1418	120х50х10
model-1419	1419	80х100х10
model-1422	1422, 1423, 1425, 1428, 1424, 1426, 1430, 1427, 1429	57х3х0.5
model-1431	1431	Д48х58|Д38х49
model-1432	1432	57х57х50|47х57х47|36х36х43
model-1433	1433	61х41х13|53х32х9|43х27х9
model-1434	1434	55х44х26|49х38х22|43х32х18
model-1435	1435	31х31х44|39х39х54
model-1436	1436	70х74х90
model-1437	1437	70х74х90
model-1438	1438	63х66х85
model-1439	1439	200х100х78
model-1440	1440	83х53х47
model-1441	1441	107х60х73|58х60х72.5|75х40.5х37.5
model-1442	1442, 1443	107х60х83|60х60х83|79.5х45.5х34
model-1446	1446	62х73|48х40х93
model-1447	1447	98х40х3.5
model-1448	1448	136х46х96
model-1449	1449	109х57х90
model-1450	1450, 1451, 1452	60х72
model-1455	1455	30х70|25х60|20х50
model-1456	1456	40х47.5х94
model-1458	1458	36х35х91
model-1459	1459, 1460	36х35х91
model-1461	1461	61х26х47
model-1462	1462	25х52|20х45
model-1463	1463	55х25х39
model-1464	1464	31х23х60
model-1465	1465	46х44х92
model-1466	1466	43х48х91
model-1467	1467, 1468, 1469	44х42х83
model-1470	1470, 1471	62х32х117
model-1472	1472	60х30х157
model-1474	1474, 1475	33х24х114
model-1476	1476, 1477	33х48х117
model-1479	1479, 1480, 1481	53х41х89
model-1482	1482, 1483	47х41х86
model-1484	1484, 1485, 1486	56х76
model-1487	1487, 1488, 1489	95х56х92
model-1490	1490, 1491, 1492	53х41х89
model-1493	1493	160х200
model-1496	1496	120х200
model-1497	1497	160х200
model-1499	1499	160х200
model-1501	1501	160х200
model-1503	1503	90х200
model-1504	1504	90х200
model-1506	1506	160х200
model-1507	1507	48х37х56
model-1508	1508, 1509, 1510	80х80х24
model-1511	1511, 1513, 1512	80х80х42
model-1514	1514, 1515, 1516	80х80х42
model-1520	1520	46х46х18
model-1525	1525	44х35х2.5
model-1526	1526	44х25х20
model-1527	1527	10.5х10.5х29
model-1528	1528	14х10х16
model-1529	1529	18х10х33
model-1532	1532, 1533	15х5х48
model-1534	1534	7.5х4.5х51.5
model-1537	1537	5х5х54
model-1540	1540	7.5х5х44
model-1541	1541	33х30.5х5.5
model-1542	1542	23х16х13.5
model-1543	1543	30.5х31х6.5
model-1544	1544	35х26.5х9
model-1545	1545	30.5х30.5х48
model-1546	1546, 1547	34х17х5.5
model-1548	1548	35х28.5х9
model-1549	1549	36х19х7.5
model-1550	1550	12х11.5х21
model-1551	1551	14х14х21.5
model-1552	1552	24х24х34
model-1553	1553	26х12х14.5
model-1554	1554	31.5х15х17
model-1555	1555	17х16.5х25.5
model-1556	1556	24.5х11.5х11
model-1557	1557	46х46х51
model-1558	1558	38х38х53
model-1559	1559	41х41х41
model-1560	1560	26х15х23
model-1561	1561	33.5х14х21.5
model-1563	1563	71.5х79х70
model-1570	1570	Д36х46
model-1572	1572	88х42х50
model-1575	1575	78х45х51
model-1576	1576	49х56х81
model-1579	1579	60х89
model-1582	1582	Д8х11.3
model-1583	1583	Д8х11.3
model-1585	1585	80х33х47
model-1586	1586, 1587, 1588, 1589	80х80х24
model-1590	1590	80х80х20
model-1601	1601	150х45х80
model-1602	1602	180х45х80
model-1603	1603	60х35х190
model-1604	1604	80х35х190
model-1605	1605	40х110х70
model-1606	1606	110х70х76
model-1607	1607	140х60х74
model-1608	1608	50х50х50
model-1609	1609	90х35х140
model-1610	1610	18х18х20
model-1611	1611	15х16х26
model-1612	1612	20х15х30
model-1614	1614	60х45х5
model-1615	1615	61х49х80
model-1616	1616	31х12х2|37х14х2|41х15х2
model-1617	1617	10х15х27|12х19х32
model-1618	1618	3х14х31|5х19х39
model-1619	1619	24х45|19х36
model-1621	1621	6х12х46|11х19х58|11х19х68
model-1622	1622	23х23х41|20х20х36|18х18х31
model-1623	1623	22х22х50|20х20х40|15х15х30
model-1624	1624	Д37х27х30|Д30х20х26|Д23х15х23
model-1625	1625	45х30х8|40х25х7|30х20х6
model-1626	1626	15х15х46|15х15х26
model-1627	1627	12х12х35|12х12х28
model-1628	1628	10х10х20|10х10х15|10х10х12
model-1629	1629	14х14х58|14х14х48|14х14х37
model-1630	1630	42х25|37х20|32х15
model-1631	1631	15х50|15х42
model-1632	1632	30х30х12|25х25х10|20х20х8
model-1633	1633	9х9х22
model-1634	1634	50х50
model-1635	1635	53х47х80
model-1636	1636	Д32х52-74
model-1637	1637	33х33х36
model-1638	1638	58х46х82
model-1639	1639	Д38х82
model-1640	1640	37х22х47
model-1641	1641, 1642	17х20|20х25
model-1643	1643	110х40х52
model-1645	1645	143х81х79
model-1646	1646	190х77х79
model-1647	1647	190х77х79
model-1648	1648	133х71х77
model-1649	1649	73х90х80
model-1650	1650	53х60х88
model-1651	1651	87х78х70
model-1652	1652	75х87х86
model-1653	1653	65х62х75
model-1654	1654	65х75х73
model-1655	1655	54х60х91
model-1656	1656	63х71х78
model-1657	1657	47х51х82
model-1658	1658	48х48х24
model-1659	1659	42х42х45
model-1660	1660	42х92х52
model-1661	1661	33х33х44
model-1662	1662	51х61х88
model-1663	1663	32х32х49
model-1664	1664	47х45х79
model-1665	1665	42х35х45
model-1666	1666	38х33х60
model-1667	1667	75х35х190
model-1668	1668	115х35х190
model-1669	1669	100х25х106
model-1670	1670	210х190х40
model-1671	1671	50х135х70
model-1672	1672	210х105х45
model-1673	1673	120х150х75
model-1674	1674	140х120х45
model-1675	1675	195х70х35
model-1676	1676	195х100х35
model-1677	1677	132х70х35
